ID Number,Forename,Surname,Birth Year,Sex,Age,Mother ID,Father ID,No. of Kids,No. of Friends,Partner ID,MB Type,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Job,Gen
144,Bailey,Ritchie,11,Male,89,13,63,2,4,139,ESFJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your left leg?,I burned my left leg when I was 24,What happened to your right leg?,I burned my right leg when I was 75,What is your eldest sibling's age?,My eldest sibling is Daniel who was born in the year 5,How old was your mother when she died?,My mother was 77 when she died,Soldier,2
149,Andrea,Mcmahon,12,Female,88,31,82,5,4,141,ENFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any shared friends with Ryan Compton?,No. Ryan and I don't share any friends,Who were your parents?,My mother was Victoria and my father was Timothy,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 3 siblings,Housewife,2
155,Garry,Garner,13,Male,87,24,68,0,4,170,ISFJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,How old were you when you married Linda?,I married Linda when I was 23 and they were 18,What happened to your torso?,I burned my torso when I was 37,Do you have any shared friends with Alan Mclaren?,No. Alan and I don't share any friends,Who were your parents?,My mother was Hayley and my father was Zak,Soldier,2
164,Callan,Cheung,15,Male,85,30,81,2,4,177,INTJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your right leg?,I crippled my right leg when I was 72,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. but I only have one sibling,How old was your father when he died?,My father was 79 when he died,Smith,2
165,Hannah,Stephen,15,Female,85,36,91,4,4,160,ESFP,What did you do when you turned 16?,I became an Housewife once I became an adult.,Who was your first friend?,My first friend was Keira Glendinning,What is your eldest sibling's age?,My eldest sibling is Clara who was born in the year 12,How old was your mother when she died?,My mother was 36 when she died,Do you have any children?,I have 4 wonderful children!,Housewife,2
166,Alastair,Mcrae,16,Male,84,10,56,3,4,182,ESTJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your torso?,I burned my torso when I was 43,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Kirsten Crombie?,No. Kirsten and I don't share any friends,Who were your parents?,My mother was Lily and my father was Alfie,Hunter,2
174,Francis,Hampson,18,Male,82,2,53,5,4,185,ENFJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,How old were you when you married Rebekah?,I married Rebekah when I was 20 and they were 18,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 84 when he died,Soldier,2
175,Jamie,Gault,18,Male,82,17,66,1,4,180,ENFP,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your left arm?,I scarred my left arm when I was 22,What happened to your torso?,I scarred my torso when I was 37,What happened to your left arm?,I burned my left arm when I was 38,What happened to your left arm?,I crippled my left arm when I was 62,Hunter,2
177,Megan,Cheung,18,Female,82,30,81,2,4,164,INTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any children?,I have 2 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Jemma Cahill?,No. Jemma and I don't share any friends,Who were your parents?,My mother was Charlotte and my father was Mohammed,Housewife,2
187,Cerys,Stanners,20,Female,80,35,78,3,4,178,ENTP,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father was 73 when he died,Who was your first friend?,My first friend was Jax Stanners,What is your eldest sibling's age?,My eldest sibling is Jay who was born in the year 2,Housewife,2
191,Elsie,Cahill,21,Female,79,5,57,5,4,192,ISFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your left leg?,I burned my left leg when I was 16,What happened to your right arm?,I scarred my right arm when I was 42,How old was your mother when she died?,My mother was 74 when she died,Do you have any children?,I have 5 wonderful children!,Farmer,2
192,Gabriel,Cahill,21,Male,79,21,77,5,4,191,INFP,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 17,How old were you when you married Elsie?,I married Elsie when I was 18 and they were 18,What happened to your left leg?,I burned my left leg when I was 34,What happened to your right leg?,I burned my right leg when I was 63,Soldier,2
197,Lois,Ritchie,23,Female,77,13,63,5,4,203,ESFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 66 when he died,Who was your first friend?,My first friend was Donald Glendinning,Housewife,2
199,Ariana,Niven,23,Female,77,31,82,3,4,205,ENFP,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any shared friends with Amelia Dryden?,No. Amelia and I don't share any friends,Who were your parents?,My mother was Victoria and my father was Timothy,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 3 siblings,Housewife,2
202,Lennon,Mclaren,24,Male,76,5,57,5,4,195,ISFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your left leg?,I crippled my left leg when I was 17,What happened to your right arm?,I crippled my right arm when I was 68,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Kristopher Ritchie?,No. Kristopher and I don't share any friends,Farmer,2
