ID Number,Forename,Surname,Birth Year,Sex,Age,Mother ID,Father ID,No. of Kids,No. of Friends,Partner ID,MB Type,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Job
0,Fimbultyr,Allfather,-99,Male,99,Eternal,Eternal,0,0,Single,ESTJ,What have the Gods ever done for us?,Created the universe in a time before memory,,,,,,,,,Dead
1,Ava,Hair,-20,Female,90,0,0,3,4,51,ESFJ,What happened to your left leg?,I scarred my left leg when I was 45,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Weaver
2,Katie,Hampson,-20,Female,83,0,0,1,4,53,ENFP,Do you get along well with Kelsey?,I talked to Kelsey when I was 22 but we didn't work as friends,Who was your first friend?,My first friend was Jill Rodden,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I just have the one child,Housewife
3,Gracie,Fay,-20,Female,88,0,0,1,4,54,ISFJ,How long have you been friends with Ruairidh?,I've been friends with Ruairidh since I was 21,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Ruairidh Nelson?,No. Ruairidh and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Housewife
4,Kelsey,Holt,-20,Female,91,0,0,4,4,52,ISTP,What happened to your torso?,I crippled my torso when I was 58,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Linsey Roy,Do you have any injuries to your head?,I've never had any serious injuries to my head,Weaver
5,Ashley,Mclaren,-20,Female,78,0,0,1,4,57,ISFJ,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I just have the one child,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Ava Hair?,No. Ava and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,Housewife
6,Matilda,Morris,-20,Female,85,0,0,1,4,55,INTP,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Lynne Little,Do you have any injuries to your head?,I've never had any serious injuries to my head,Housewife
7,Kate,Cassidy,-20,Female,81,0,0,1,4,61,ISFP,How long have you been friends with Stacy?,I've been friends with Stacy since I was 21,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I just have the one child,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Stacy Duncanson?,No. Stacy and I don't share any friends,Housewife
8,Stacy,Duncanson,-20,Female,81,0,0,2,4,62,ESFP,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Kate Cassidy,Housewife
9,Lena,Bingham,-20,Female,77,0,0,1,4,59,ISTP,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I just have the one child,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Sam Bates?,No. Sam and I don't share any friends,Weaver
10,Lily,Mcrae,-20,Female,71,0,0,1,4,56,ESTJ,What happened to your torso?,I scarred my torso when I was 38,What happened to your left leg?,I crippled my left leg when I was 40,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Weaver
11,Lynne,Little,-20,Female,87,0,0,5,4,58,ENTJ,What happened to your left leg?,I scarred my left leg when I was 42,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Ava Hair,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Weaver
