ID Number,Forename,Surname,Birth Year,Sex,Age,Mother ID,Father ID,No. of Kids,No. of Friends,Partner ID,MB Type,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Job,Gen
130,Lindsay,Stanners,9,Female,91,1,51,5,4,131,ESFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any children?,I have 5 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Sam Roy?,No. Sam and I don't share any friends,Who were your parents?,My mother was Ava and my father was Jay,Housewife,2
166,Lewis,Duncanson,15,Male,85,8,62,2,4,165,ESFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your torso?,I crippled my torso when I was 30,What happened to your right leg?,I scarred my right leg when I was 38,Who was your first friend?,My first friend was Poppy Mcrae,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Adam who was born 5 years after me,Farmer,2
171,Charley,Evans,15,Female,85,36,91,5,4,183,ESFP,What did you do when you turned 16?,I became a Weaver once I became an adult.,How old was your mother when she died?,My mother was 77 when she died,Do you have any children?,I have 5 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with John Niven?,No. John and I don't share any friends,Weaver,2
172,Sophie,Ferry,15,Female,85,40,88,2,4,194,ISTP,What did you do when you turned 16?,I became an Housewife once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 17,Who were your parents?,My mother was Georgia and my father was Jax,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 2 siblings,Housewife,2
174,Kian,Niven,16,Male,84,16,60,2,4,200,ENTP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your torso?,I crippled my torso when I was 26,Who was your first friend?,My first friend was John Bates,What is your eldest sibling's age?,My eldest sibling is Jordan who was born in the year 13,How old was your mother when she died?,My mother was 73 when she died,Smith,2
178,Lesley,Compton,16,Female,84,34,86,2,4,187,ENFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Who was your first friend?,My first friend was Lyle Glendinning,What is your eldest sibling's age?,My eldest sibling is Jodie who was born in the year 10,How old was your mother when she died?,My mother was 91 when she died,Do you have any children?,I have 2 wonderful children!,Housewife,2
180,Harley,Niven,17,Female,83,11,58,2,4,162,ENTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 71 when he died,Who was your first friend?,My first friend was Niamh Dryden,What is your eldest sibling's age?,My eldest sibling is Jonathan who was born in the year 7,Housewife,2
189,Millie,Mclay,18,Female,82,37,93,5,4,168,ESFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any children?,I have 5 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Gabriel Garner?,No. Gabriel and I don't share any friends,Who were your parents?,My mother was Abbi and my father was Lennon,Housewife,2
199,Lee,Brewster,20,Female,80,44,95,0,4,193,ENFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your torso?,I scarred my torso when I was 16,What happened to your right leg?,I scarred my right leg when I was 34,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Henry Fay?,No. Henry and I don't share any friends,Weaver,2
201,Alicia,Gault,20,Female,80,49,98,3,4,231,ENFP,What did you do when you turned 16?,I became a Weaver once I became an adult.,Who was your first friend?,My first friend was Ann Dryden,What is your eldest sibling's age?,My eldest sibling is Keira who was born in the year 4,How old was your mother when she died?,My mother was 76 when she died,Do you have any children?,I have 3 wonderful children!,Weaver,2
204,Aiden,Stephen,21,Male,79,36,91,2,4,208,ESFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,How old were you when you married Claire?,I married Claire when I was 20 and they were 18,What happened to your right leg?,I burned my right leg when I was 42,Who was your first friend?,My first friend was Arianna Gault,What is your eldest sibling's age?,My eldest sibling is Nova who was born in the year 8,Hunter,2
215,Lorna,Garner,24,Female,76,39,87,2,4,213,INFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any shared friends with Jonathan Little?,No. Jonathan and I don't share any friends,Who were your parents?,My mother was Jordan and my father was Gareth,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 3 siblings,Housewife,2
216,Jill,Hair,25,Female,75,13,63,2,4,212,ESFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,How old was your father when he died?,My father was 25 when he died,Who was your first friend?,My first friend was Joe Garner,What is your eldest sibling's age?,My eldest sibling is Jax who was born in the year 7,How old was your mother when she died?,My mother was 71 when she died,Farmer,2
