ID Number,Forename,Surname,Birth Year,Sex,Age,Mother ID,Father ID,No. of Kids,No. of Friends,Partner ID,MB Type,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Job,Gen
0,Fimbultyr,Allfather,-99,Male,99,Eternal,Eternal,0,0,Single,ESTJ,What have the Gods ever done for us?,Created the universe in a time before memory,,,,,,,,,Dead,0
1,Ava,Mcshane,-20,Female,71,0,0,5,4,12,ESFJ,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Callum Kavanagh,Weaver,1
2,Katie,Merrilees,-20,Female,72,0,0,2,4,16,ENFP,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 2 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Allan Mcshane?,No. Allan and I don't share any friends,Housewife,1
3,Gracie,Mcneil,-20,Female,81,0,0,5,4,13,ISFJ,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Stacy Carty,Housewife,1
4,Kelsey,Kavanagh,-20,Female,82,0,0,5,4,19,ISTP,How long have you been friends with Jay?,I've been friends with Jay since I was 22,What happened to your left arm?,I scarred my left arm when I was 69,What happened to your left arm?,I crippled my left arm when I was 78,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Weaver,1
5,Ashley,Syme,-20,Female,80,0,0,4,4,15,ISFJ,Do you have any children?,I have 4 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Lena Merrilees?,Yes. We have 1 shared friend. It's Stacy Carty,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Housewife,1
6,Matilda,Potter,-20,Female,78,0,0,3,4,14,INTP,Do you get along well with Ava?,I talked to Ava when I was 23 but we didn't work as friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Ryan Henderson,Do you have any injuries to your head?,I've never had any serious injuries to my head,Housewife,1
7,Kate,Low,-20,Female,76,0,0,0,4,Single,ISFP,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I don't have any children,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Kelsey Kavanagh?,No. Kelsey and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,Housewife,1
8,Stacy,Carty,-20,Female,81,0,0,4,4,17,ESFP,What happened to your right leg?,I scarred my right leg when I was 43,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Gracie Mcneil,Housewife,1
9,Lena,Merrilees,-20,Female,74,0,0,0,4,53,ISTP,What happened to your torso?,I burned my torso when I was 48,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I don't have any children,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Weaver,1
10,Lily,Henderson,-20,Female,82,0,0,3,4,11,ESTJ,Do you have any shared friends with Gracie Mcneil?,Yes. We have 1 shared friend. It's Stacy Carty,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Weaver,1
