ID Number,Forename,Surname,Birth Year,Sex,Age,Mother ID,Father ID,No. of Kids,No. of Friends,Partner ID,MB Type,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Job,Gen
0,Fimbultyr,Allfather,-99,Male,99,Eternal,Eternal,0,0,Single,ESTJ,What have the Gods ever done for us?,Created the universe in a time before memory,,,,,,,,,Dead,0
1,Ava,Mcshane,-20,Female,88,0,0,5,4,12,ESFJ,What happened to your right arm?,I scarred my right arm when I was 66,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Weaver,1
2,Katie,Merrilees,-20,Female,84,0,0,4,4,16,ENFP,How long have you been friends with Jay?,I've been friends with Jay since I was 22,Who was your first friend?,My first friend was Jay Lambert,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 4 wonderful children!,Housewife,1
3,Gracie,Mcneil,-20,Female,84,0,0,5,4,13,ISFJ,Do you get along well with Ryan?,I talked to Ryan when I was 21 but we didn't work as friends,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Ava Mcshane?,No. Ava and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Housewife,1
4,Kelsey,Kavanagh,-20,Female,75,0,0,3,4,19,ISTP,What happened to your torso?,I burned my torso when I was 37,What happened to your left arm?,I scarred my left arm when I was 59,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Kian Potter,Weaver,1
5,Ashley,Syme,-20,Female,86,0,0,2,4,15,ISFJ,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 2 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Kelsey Kavanagh?,Yes. We have 1 shared friend. It's Kian Potter,Housewife,1
6,Matilda,Potter,-20,Female,80,0,0,5,4,14,INTP,Do you get along well with Lily?,I talked to Lily when I was 22 but we didn't work as friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Housewife,1
7,Kate,Low,-20,Female,91,0,0,0,4,Single,ISFP,Do you get along well with Ryan?,I talked to Ryan when I was 21 but we didn't work as friends,Who was your first friend?,My first friend was Max Carty,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I don't have any children,Housewife,1
8,Stacy,Carty,-20,Female,81,0,0,2,4,17,ESFP,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Cole Merrilees?,Yes. We have 1 shared friend. It's Lena Mcmurray,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Housewife,1
9,Lena,Mcmurray,-20,Female,74,0,0,0,4,Single,ISTP,What happened to your left arm?,I crippled my left arm when I was 56,What happened to your right leg?,I scarred my right leg when I was 61,What happened to your left leg?,I burned my left leg when I was 65,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Jay Lambert,Weaver,1
10,Lily,Henderson,-20,Female,77,0,0,4,4,11,ESTJ,What happened to your left leg?,I scarred my left leg when I was 21,What happened to your torso?,I scarred my torso when I was 35,What happened to your left arm?,I burned my left arm when I was 51,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Weaver,1
11,Ryan,Henderson,-20,Male,74,0,0,4,4,10,ENTJ,What happened to your left arm?,I scarred my left arm when I was 31,What happened to your left leg?,I burned my left leg when I was 34,What happened to your left arm?,I lost my left arm when I was 39,Do you have any children?,I have 4 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Farmer,1
12,Allan,Mcshane,-20,Male,82,0,0,5,4,1,ENFJ,How long have you been friends with Stacy?,I've been friends with Stacy since I was 24,Do you have any shared friends with Max Carty?,No. Max and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Smith,1
13,Richard,Mcneil,-20,Male,56,0,0,5,4,3,ESFJ,What happened to your torso?,I lost my torso when I was 56,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Ryan Henderson,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Farmer,1
14,Kian,Potter,-20,Male,75,0,0,5,4,6,INTJ,How old were you when you married Matilda?,I married Matilda when I was 21 and they were 21,How long have you been friends with Cole?,I've been friends with Cole since I was 22,What happened to your left leg?,I lost my left leg when I was 29,What happened to your left arm?,I burned my left arm when I was 47,What happened to your right arm?,I burned my right arm when I was 67,Farmer,1
15,Bryan,Syme,-20,Male,75,0,0,2,4,5,INFJ,What happened to your left leg?,I crippled my left leg when I was 38,Do you have any children?,I have 2 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Ryan Henderson?,No. Ryan and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,Farmer,1
16,Cole,Merrilees,-20,Male,78,0,0,4,4,2,ENTP,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Stacy Carty,Do you have any injuries to your head?,I've never had any serious injuries to my head,Soldier,1
17,Max,Carty,-20,Male,70,0,0,2,4,8,ENFP,What happened to your left arm?,I scarred my left arm when I was 53,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 2 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Allan Mcshane?,No. Allan and I don't share any friends,Farmer,1
18,Jay,Lambert,-20,Male,68,0,0,0,4,Single,ENTP,What happened to your torso?,I burned my torso when I was 42,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Soldier,1
19,Callum,Kavanagh,-20,Male,27,0,0,3,4,4,ISTJ,What happened to your left leg?,I scarred my left leg when I was 21,How old were you when you married Kelsey?,I married Kelsey when I was 21 and they were 21,Who was your first friend?,My first friend was Matilda Potter,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Farmer,1
