ID Number,Forename,Surname,Birth Year,Sex,Age,Mother ID,Father ID,No. of Kids,No. of Friends,Partner ID,MB Type,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Job,Gen
0,Fimbultyr,Allfather,-99,Male,99,Eternal,Eternal,0,0,Single,ESTJ,What have the Gods ever done for us?,Created the universe in a time before memory,,,,,,,,,Dead,0
1,Ava,Mcshane,-20,Female,85,0,0,1,4,12,ESFJ,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Gracie Mcneil,Weaver,1
2,Katie,Merrilees,-20,Female,74,0,0,5,4,16,ENFP,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 5 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Matilda Potter?,No. Matilda and I don't share any friends,Housewife,1
3,Gracie,Mcneil,-20,Female,73,0,0,2,4,13,ISFJ,How long have you been friends with Kelsey?,I've been friends with Kelsey since I was 21,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Housewife,1
4,Kelsey,Kavanagh,-20,Female,83,0,0,5,4,19,ISTP,What happened to your left arm?,I scarred my left arm when I was 29,What happened to your left leg?,I burned my left leg when I was 31,Who was your first friend?,My first friend was Gracie Mcneil,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Weaver,1
5,Ashley,Syme,-20,Female,78,0,0,4,4,15,ISFJ,Do you have any children?,I have 4 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Stacy Carty?,No. Stacy and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Housewife,1
6,Matilda,Potter,-20,Female,73,0,0,4,4,14,INTP,Do you get along well with Richard?,I talked to Richard when I was 21 but we didn't work as friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Katie Merrilees,Do you have any injuries to your head?,I've never had any serious injuries to my head,Housewife,1
7,Kate,Low,-20,Female,81,0,0,0,4,Single,ISFP,How long have you been friends with Ava?,I've been friends with Ava since I was 21,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I don't have any children,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Ava Mcshane?,No. Ava and I don't share any friends,Housewife,1
8,Stacy,Carty,-20,Female,77,0,0,2,4,17,ESFP,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Ashley Syme,Housewife,1
9,Lena,Mcmurray,-20,Female,96,0,0,0,4,Single,ISTP,How long have you been friends with Matilda?,I've been friends with Matilda since I was 24,What happened to your torso?,I scarred my torso when I was 50,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I don't have any children,Weaver,1
