ID Number,Forename,Surname,Birth Year,Sex,Age,Mother ID,Father ID,No. of Kids,No. of Friends,Partner ID,MB Type,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Job,Gen
32,Josh,Mccourt,9,Male,91,10,22,3,4,34,ESTJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 19,What happened to your right leg?,I burned my right leg when I was 35,What happened to your right leg?,I crippled my right leg when I was 39,What happened to your torso?,I burned my torso when I was 61,Hunter,2
39,Amy,Carty,13,Female,87,11,18,1,4,44,ENTP,What did you do when you turned 16?,I became an Housewife once I became an adult.,What happened to your torso?,I scarred my torso when I was 41,How old was your father when he died?,My father was 79 when he died,Who was your first friend?,My first friend was Brody Kavanagh,What is your eldest sibling's age?,My eldest sibling is Peter who was born in the year 9,Housewife,2
41,Abigail,Slavin,16,Female,84,7,21,0,4,Single,ISFP,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any children?,I don't have any children,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Jill Carty?,Yes. We have 1 shared friend. It's Kirsten Carty,Who were your parents?,My mother was Kate and my father was Bruce,Housewife,2
42,Niamh,Syme,17,Female,83,5,24,3,4,54,ISFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 86 when he died,Who was your first friend?,My first friend was Maureen Kavanagh,Housewife,2
48,Alistair,Mcneil,21,Male,79,1,13,3,4,35,ESFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,Do you have any siblings?,Yes. I actually have 2 siblings,How old was your father when he died?,My father was 76 when he died,Who was your first friend?,My first friend was Abigail Slavin,What is your eldest sibling's age?,My eldest sibling is Jacqueline who was born in the year 12,Hunter,2
51,Charlene,Meldrum,21,Female,79,12,20,1,4,60,ENFP,What did you do when you turned 16?,I became a Weaver once I became an adult.,How old was your father when he died?,My father was 82 when he died,Who was your first friend?,My first friend was Naomi Lambert,What is your eldest sibling's age?,My eldest sibling is Martin who was born in the year 2,How old was your mother when she died?,My mother was 72 when she died,Weaver,2
52,Quinn,Mccourt,23,Female,77,1,13,1,4,59,ESFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 51,Do you have any children?,I just have the one child,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Alistair Mcneil?,Yes. We have 1 shared friend. It's Maureen Kavanagh,Weaver,2
53,Maureen,Kavanagh,23,Female,77,7,21,5,4,57,ISFP,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your right leg?,I scarred my right leg when I was 40,What happened to your right arm?,I scarred my right arm when I was 59,Who were your parents?,My mother was Kate and my father was Bruce,How many friends do you have?,I have 4 friends,Weaver,2
56,Faith,Lambert,29,Female,71,11,18,0,4,Single,ENTJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,How old was your mother when she died?,My mother was 72 when she died,Do you have any children?,I don't have any children,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Josh Mccourt?,No. Josh and I don't share any friends,Weaver,2
57,Ruairidh,Kavanagh,30,Male,70,4,19,5,4,53,ISTP,What did you do when you turned 16?,I became an Hunter once I became an adult.,How old were you when you married Maureen?,I married Maureen when I was 18 and they were 25,Who were your parents?,My mother was Kelsey and my father was Callum,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 2 siblings,Hunter,2
58,Alastair,Potter,30,Male,70,6,14,0,4,40,INTP,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 57,How old was your father when he died?,My father was 78 when he died,Who was your first friend?,My first friend was Tommy Syme,What is your eldest sibling's age?,My eldest sibling is Francis who was born in the year 4,Soldier,2
59,Kenzie,Mccourt,30,Male,70,10,22,1,4,52,ESTJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your left arm?,I scarred my left arm when I was 31,What happened to your right leg?,I lost my right leg when I was 58,How old was your mother when she died?,My mother was 82 when she died,Do you have any children?,I just have the one child,Smith,2
60,Euan,Meldrum,30,Male,70,12,20,1,4,51,ENFP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your left leg?,I burned my left leg when I was 18,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Alastair Potter?,Yes. We have 1 shared friend. It's Tommy Syme,Who were your parents?,My mother was Pamela and my father was Bryan,Smith,2
61,Kenzie,Syme,34,Male,66,29,37,0,4,Single,INFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 82 when he died,Who was your first friend?,My first friend was Iona Potter,Farmer,3
62,Harvey,Syme,35,Male,65,29,37,0,4,Single,INFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 26,What happened to your right leg?,I burned my right leg when I was 51,What is your eldest sibling's age?,My eldest sibling is Kenzie who was born in the year 34,How old was your mother when she died?,My mother was 88 when she died,Farmer,3
63,Greg,Meldrum,36,Male,64,30,26,3,4,68,ENFP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your right leg?,I scarred my right leg when I was 19,What happened to your left arm?,I burned my left arm when I was 25,What happened to your right arm?,I lost my right arm when I was 47,Do you have any children?,I have 3 wonderful children!,Smith,3
64,Tyler,Syme,39,Male,61,29,37,0,4,Single,INFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your right arm?,I lost my right arm when I was 35,How old was your mother when she had you?,My mother was 33 years old when she had me,Do you have any shared friends with Harvey Syme?,No. Harvey and I don't share any friends,Who were your parents?,My mother was Hayley and my father was Jayden,Farmer,3
66,Bailey,Mccourt,41,Male,59,34,32,5,4,72,ENTJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,Who was your first friend?,My first friend was Greg Meldrum,What is your eldest sibling's age?,My eldest sibling is Bradley who was born in the year 40,How old was your mother when she died?,My mother was 73 when she died,Do you have any children?,I have 5 wonderful children!,Soldier,3
68,Shannon,Meldrum,44,Female,56,38,43,3,4,63,ENFP,What did you do when you turned 16?,I became a Weaver once I became an adult.,Do you have any siblings?,Yes. I actually have 2 siblings,How old was your father when he died?,My father was 42 when he died,Who was your first friend?,My first friend was Euan Meldrum,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Jake who was born 5 years after me,Weaver,3
69,Lynn,Carty,47,Female,53,30,26,1,4,70,ENFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,How old was your mother when she died?,My mother was 85 when she died,Do you have any children?,I just have the one child,How old was your mother when she had you?,My mother was 39 years old when she had me,Do you have any shared friends with Tyler Syme?,No. Tyler and I don't share any friends,Farmer,3
70,Connor,Carty,47,Male,53,39,44,1,4,69,ENTP,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your left arm?,I scarred my left arm when I was 36,Who were your parents?,My mother was Amy and my father was Josh,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Soldier,3
71,Paul,Lambert,47,Male,53,50,46,0,4,Single,ENTJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,How old was your father when he died?,My father was 76 when he died,Who was your first friend?,My first friend was Kerry Mccourt,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Jay who was born 5 years after me,How old was your mother when she died?,My mother was 75 when she died,Hunter,3
72,Caitlin,Mccourt,48,Female,52,36,49,5,4,66,INTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any children?,I have 5 wonderful children!,How old was your mother when she had you?,My mother was 36 years old when she had me,Do you have any shared friends with Paul Lambert?,Yes. We have 1 shared friend. It's Connor Carty,Who were your parents?,My mother was Freya and my father was Max,Housewife,3
73,Jake,Carty,49,Male,51,38,43,3,4,85,ESFP,What did you do when you turned 16?,I became a Soldier once I became an adult.,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 2 siblings,How old was your father when he died?,My father was 42 when he died,Who was your first friend?,My first friend was Kenzie Mccourt,Soldier,3
74,Bethany,Mccourt,49,Female,51,42,54,5,4,77,ISFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Justin who was born 12 years after me,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I have 5 wonderful children!,How old was your mother when she had you?,My mother was 32 years old when she had me,Weaver,3
75,Alison,Syme,50,Female,50,29,37,3,4,83,INFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,Do you have any shared friends with Harvey Syme?,No. Harvey and I don't share any friends,Who were your parents?,My mother was Hayley and my father was Jayden,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,Weaver,3
76,Grayson,Lambert,50,Male,50,31,33,2,4,86,ENFP,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 23,How old was your father when he died?,My father was 75 when he died,Who was your first friend?,My first friend was Lynn Carty,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Jude who was born 6 years after me,Soldier,3
78,Ryan,Kavanagh,50,Male,50,53,57,3,4,82,ISFP,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your left arm?,I scarred my left arm when I was 22,What happened to your right leg?,I scarred my right leg when I was 44,Do you have any shared friends with Alison Syme?,No. Alison and I don't share any friends,Who were your parents?,My mother was Maureen and my father was Ruairidh,Soldier,3
79,Benjamin,Mcneil,52,Male,48,35,48,0,4,Single,ESFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your torso?,I scarred my torso when I was 34,What happened to your left arm?,I crippled my left arm when I was 40,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 2 siblings,Hunter,3
