ID Number,Forename,Surname,Birth Year,Sex,Age,Mother ID,Father ID,No. of Kids,No. of Friends,Partner ID,MB Type,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Job,Gen
66,Noah,Waters,17,Male,83,6,23,3,4,57,ENTP,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right arm?,I lost my right arm when I was 56,How old was your mother when she died?,My mother was 80 when she died,Do you have any children?,I have 3 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Hunter,2
69,Sinead,Brodie,19,Female,81,6,23,3,4,73,INTP,What did you do when you turned 16?,I became an Housewife once I became an adult.,What is your eldest sibling's age?,My eldest sibling is Sarah who was born in the year 9,How old was your mother when she died?,My mother was 80 when she died,Do you have any children?,I have 3 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Housewife,2
71,Lisa,Bissett,20,Female,80,11,30,2,4,83,INTJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your right leg?,I scarred my right leg when I was 35,How old was your father when he died?,My father was 66 when he died,Who was your first friend?,My first friend was Noah Waters,What is your eldest sibling's age?,My eldest sibling is Gracie who was born in the year 7,Weaver,2
76,Lily,Smith,24,Female,76,16,35,3,4,77,ENTP,What did you do when you turned 16?,I became an Housewife once I became an adult.,What happened to your left arm?,I scarred my left arm when I was 34,What is your eldest sibling's age?,My eldest sibling is Maisie who was born in the year 4,How old was your mother when she died?,My mother was 86 when she died,Do you have any children?,I have 3 wonderful children!,Housewife,2
78,Stacy,Plunkett,27,Female,73,2,21,4,4,81,INFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your left arm?,I scarred my left arm when I was 24,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 71 when he died,Farmer,2
82,Tracey,Shankland,28,Female,72,11,30,0,4,Single,INTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Who were your parents?,My mother was Lynne and my father was Greg,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 2 siblings,How old was your father when he died?,My father was 66 when he died,Housewife,2
85,Shannon,Plunkett,29,Female,71,9,38,3,4,89,ISTP,What did you do when you turned 16?,I became a Weaver once I became an adult.,Do you have any children?,I have 3 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Aria Doig?,No. Aria and I don't share any friends,Who were your parents?,My mother was Lena and my father was William,Weaver,2
88,Heather,Doig,30,Female,70,3,24,0,4,Single,ISFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,Do you have any shared friends with Abbi Lang?,Yes. We have 1 shared friend. It's Kenneth Farrell,Who were your parents?,My mother was Gracie and my father was Gerard,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 2 siblings,Weaver,2
89,Eric,Plunkett,30,Male,70,5,28,3,4,85,ISFP,What did you do when you turned 16?,I became an Hunter once I became an adult.,How old was your father when he died?,My father was 90 when he died,Who was your first friend?,My first friend was Natasha Slavin,What is your eldest sibling's age?,My eldest sibling is Finlay who was born in the year 17,How old was your mother when she died?,My mother was 51 when she died,Hunter,2
90,Abbi,Lang,30,Female,70,8,36,0,4,Single,ESFP,What did you do when you turned 16?,I became a Weaver once I became an adult.,Do you have any children?,I don't have any children,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Heather Doig?,Yes. We have 1 shared friend. It's Kenneth Farrell,Who were your parents?,My mother was Stacy and my father was Marc,Weaver,2
91,Ruaridh,Copland,33,Male,67,49,42,5,4,86,ESTJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your left arm?,I scarred my left arm when I was 26,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father was 73 when he died,Farmer,3
92,Wendy,Slavin,33,Female,67,50,59,2,4,97,ENTP,What did you do when you turned 16?,I became an Housewife once I became an adult.,Who was your first friend?,My first friend was Noah Waters,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 29 when she died,Do you have any children?,I have 2 wonderful children!,Housewife,3
95,Frances,Waters,36,Female,64,57,66,0,4,Single,ENTP,What did you do when you turned 16?,I became an Housewife once I became an adult.,What happened to your left arm?,I scarred my left arm when I was 21,Who was your first friend?,My first friend was Wendy Slavin,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Frances who was born 8 years after me,How old was your mother when she died?,My mother was 85 when she died,Housewife,3
