ID Number,Forename,Surname,Birth Year,Sex,Age,Mother ID,Father ID,No. of Kids,No. of Friends,Partner ID,MB Type,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Job,Gen
70,Kyle,Smith,16,Male,84,16,35,1,4,63,ENTP,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your torso?,I crippled my torso when I was 75,How old was your father when he died?,My father was 82 when he died,Who was your first friend?,My first friend was Tommy Brodie,What is your eldest sibling's age?,My eldest sibling is Orla who was born in the year 10,Hunter,2
71,Ronald,Brodie,17,Male,83,7,26,3,4,75,ISFP,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 57,How old was your mother when she died?,My mother was 87 when she died,Do you have any children?,I have 3 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Hunter,2
77,Jane,Harkness,21,Female,79,12,31,5,4,83,ENFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,How old was your mother when she died?,My mother was 72 when she died,Do you have any children?,I have 5 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Callie Smith?,No. Callie and I don't share any friends,Housewife,2
82,Greig,Plunkett,27,Male,73,5,28,0,4,Single,ISFJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your right arm?,I burned my right arm when I was 27,What happened to your left arm?,I lost my left arm when I was 66,How old was your father when he died?,My father was 52 when he died,Who was your first friend?,My first friend was Danielle Laird,Soldier,2
84,Archie,Copland,29,Male,71,13,29,0,4,Single,ISFJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your right leg?,I scarred my right leg when I was 55,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Carla Brodie?,No. Carla and I don't share any friends,Who were your parents?,My mother was Catherine and my father was George,Soldier,2
85,Zak,Smith,29,Male,71,16,35,2,4,78,ENTP,What did you do when you turned 16?,I became a Soldier once I became an adult.,How old were you when you married Rebekah?,I married Rebekah when I was 18 and they were 25,What happened to your left leg?,I scarred my left leg when I was 45,What happened to your torso?,I scarred my torso when I was 66,How many friends do you have?,I have 4 friends,Soldier,2
86,Tyler,Lang,30,Male,70,53,47,0,4,88,ESFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your right arm?,I crippled my right arm when I was 19,What happened to your right arm?,I lost my right arm when I was 54,Do you have any siblings?,Yes. but I only have one sibling,How old was your father when he died?,My father was 87 when he died,Farmer,3
87,Morag,Walsh,32,Female,68,62,61,1,4,93,ISTP,What did you do when you turned 16?,I became an Housewife once I became an adult.,Who was your first friend?,My first friend was Gabriel Brodie,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Charlie who was born 10 years after me,How old was your mother when she died?,My mother was 82 when she died,Do you have any children?,I just have the one child,Housewife,3
88,Joanne,Lang,33,Female,67,59,56,0,4,86,ESTJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 18,What happened to your right arm?,I crippled my right arm when I was 41,How old was your mother when she had you?,My mother was 22 years old when she had me,Do you have any shared friends with Greig Plunkett?,Yes. We have 2 friends shared. One of them is Morag Walsh,Weaver,3
90,Muhammad,Laird,35,Male,65,67,60,5,4,95,ISFJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your right arm?,I burned my right arm when I was 34,What happened to your torso?,I crippled my torso when I was 43,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,Soldier,3
92,Audrey,Laird,39,Female,61,49,45,3,4,89,ISTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,How old was your mother when she died?,My mother was 36 when she died,Do you have any children?,I have 3 wonderful children!,How old was your mother when she had you?,My mother was 32 years old when she had me,Do you have any shared friends with Elijah Laird?,No. Elijah and I don't share any friends,Housewife,3
94,Marie,Walsh,41,Female,59,57,48,4,4,97,ENTP,What did you do when you turned 16?,I became a Weaver once I became an adult.,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 62 when he died,Who was your first friend?,My first friend was Joanne Lang,Do you have any injuries to your head?,I've never had any serious injuries to my head,Weaver,3
95,Charlie,Laird,42,Female,58,62,61,5,4,90,ISFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,How old was your mother when she died?,My mother was 82 when she died,Do you have any children?,I have 5 wonderful children!,How old was your mother when she had you?,My mother was 30 years old when she had me,Do you have any shared friends with Mhairi Plunkett?,No. Mhairi and I don't share any friends,Farmer,3
96,Melissa,Harkness,43,Female,57,55,52,2,4,109,ENFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Who were your parents?,My mother was Lara and my father was Marc,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 74 when he died,Housewife,3
97,Alan,Walsh,43,Male,57,59,56,4,4,94,ESTP,What did you do when you turned 16?,I became a Soldier once I became an adult.,Who was your first friend?,My first friend was Allan Brodie,What is your eldest sibling's age?,My eldest sibling is Joanne who was born in the year 33,How old was your mother when she died?,My mother was 73 when she died,Do you have any children?,I have 4 wonderful children!,Soldier,3
99,Allan,Brodie,43,Male,57,75,71,0,4,107,ISFP,What did you do when you turned 16?,I became a Soldier once I became an adult.,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 2 siblings,How old was your father when he died?,My father is actually still alive,Who was your first friend?,My first friend was Alan Walsh,Soldier,3
100,Ashley,Copland,44,Female,56,79,76,4,4,91,ISFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Ben who was born 1 years after me,How old was your mother when she died?,My mother was 74 when she died,Do you have any children?,I have 4 wonderful children!,How old was your mother when she had you?,My mother was 20 years old when she had me,Housewife,3
101,Catherine,Plunkett,45,Female,55,67,60,2,4,102,INFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your right leg?,I crippled my right leg when I was 29,Do you have any shared friends with Roderick Copland?,No. Roderick and I don't share any friends,Who were your parents?,My mother was Danielle and my father was Jacob,How many friends do you have?,I have 4 friends,Farmer,3
102,Ben,Plunkett,45,Male,55,79,76,2,4,101,ISFJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your left leg?,I burned my left leg when I was 38,What happened to your right leg?,I burned my right leg when I was 48,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 73 when he died,Soldier,3
104,Mohammed,Copland,46,Male,54,74,69,5,4,106,ESTJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,How old were you when you married Phoebe?,I married Phoebe when I was 22 and they were 18,How old was your mother when she had you?,My mother was 27 years old when she had me,Do you have any shared friends with Ashley Copland?,No. Ashley and I don't share any friends,Who were your parents?,My mother was Kim and my father was Andrew,Soldier,3
105,Carly,Doig,47,Female,53,80,81,4,4,98,ISTP,What did you do when you turned 16?,I became a Weaver once I became an adult.,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. but I only have one sibling,How old was your father when he died?,My father was 35 when he died,Who was your first friend?,My first friend was Alan Walsh,Weaver,3
106,Phoebe,Copland,49,Female,51,53,47,5,4,104,ESFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,What is your eldest sibling's age?,My eldest sibling is Tyler who was born in the year 30,How old was your mother when she died?,My mother was 83 when she died,Do you have any children?,I have 5 wonderful children!,How old was your mother when she had you?,My mother was 40 years old when she had me,Housewife,3
108,Abbi,Laird,51,Female,49,67,60,1,4,110,ISFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,How old was your father when he died?,My father was 68 when he died,Who was your first friend?,My first friend was Charlie Laird,What is your eldest sibling's age?,My eldest sibling is Elijah who was born in the year 34,How old was your mother when she died?,My mother was 82 when she died,Housewife,3
109,Lyle,Harkness,51,Male,49,77,83,2,4,96,ENFJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your torso?,I scarred my torso when I was 41,Do you have any children?,I have 2 wonderful children!,How old was your mother when she had you?,My mother was 30 years old when she had me,Do you have any shared friends with Catherine Plunkett?,No. Catherine and I don't share any friends,Soldier,3
110,Simon,Laird,52,Male,48,67,60,1,4,108,ISFJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,Who were your parents?,My mother was Danielle and my father was Jacob,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 68 when he died,Smith,3
