ID Number,Forename,Surname,Birth Year,Sex,Age,Mother ID,Father ID,No. of Kids,No. of Friends,Partner ID,MB Type,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Job,Gen
77,Patricia,Lang,23,Female,77,8,36,1,4,69,ESFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father was 37 when he died,Who was your first friend?,My first friend was Logan Shankland,What is your eldest sibling's age?,My eldest sibling is Max who was born in the year 5,Housewife,2
79,Patrick,Waters,24,Male,76,2,23,0,4,Single,ENFP,What did you do when you turned 16?,I became an Hunter once I became an adult.,Do you have any shared friends with Stephen Ralston?,No. Stephen and I don't share any friends,Who were your parents?,My mother was Katie and my father was Benjamin,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 2 siblings,Hunter,2
83,Aaron,Doig,26,Male,74,3,24,1,4,89,ISFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right leg?,I scarred my right leg when I was 55,Who was your first friend?,My first friend was Taylor Brodie,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 75 when she died,Hunter,2
84,Hunter,Baird,26,Male,74,17,41,0,4,Single,INFP,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your right arm?,I crippled my right arm when I was 51,What happened to your left arm?,I burned my left arm when I was 55,Do you have any children?,I don't have any children,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Soldier,2
85,Rebekah,Lang,26,Female,74,20,44,1,4,86,ENFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any shared friends with Richard Farrell?,No. Richard and I don't share any friends,Who were your parents?,My mother was Clare and my father was Zak,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. but I only have one sibling,Housewife,2
87,Aoife,Mccrory,27,Female,73,56,51,0,4,81,ESFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,How old was your mother when she died?,My mother was 77 when she died,Do you have any children?,I don't have any children,How old was your mother when she had you?,My mother was 21 years old when she had me,Do you have any shared friends with Hayden Lang?,No. Hayden and I don't share any friends,Housewife,3
88,Mia,Smith,28,Female,72,9,38,1,4,92,ESTP,What did you do when you turned 16?,I became an Housewife once I became an adult.,What happened to your right leg?,I scarred my right leg when I was 31,What happened to your left arm?,I scarred my left arm when I was 64,Who were your parents?,My mother was Lena and my father was William,How many friends do you have?,I have 4 friends,Housewife,2
89,Ariana,Doig,28,Female,72,59,46,1,4,83,ISTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father was 42 when he died,Who was your first friend?,My first friend was Riley Thomas,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Nicolle who was born 21 years after me,Housewife,3
90,Robyn,Copland,29,Female,71,6,26,4,4,76,ISTP,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 39,How old was your mother when she died?,My mother was 72 when she died,Do you have any children?,I have 4 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Weaver,2
91,Duncan,Baird,30,Male,70,17,41,0,4,Single,INFP,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your right leg?,I burned my right leg when I was 25,What happened to your right arm?,I scarred my right arm when I was 30,Do you have any shared friends with Cameron Smith?,Yes. We have 1 shared friend. It's Kian Baird,Who were your parents?,My mother was Ann and my father was Blake,Soldier,2
