ID Number,Forename,Surname,Birth Year,Sex,Age,Mother ID,Father ID,No. of Kids,No. of Friends,Partner ID,MB Type,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Job
0,Fimbultyr,Allfather,-99,Male,99,Eternal,Eternal,0,0,Single,ESTJ,What have the Gods ever done for us?,Created the universe in a time before memory,,,,,,,,,Dead
1,Ava,Walsh,-20,Female,70,0,0,1,4,27,ESFJ,How long have you been friends with Riley?,I've been friends with Riley since I was 22,What happened to your left leg?,I scarred my left leg when I was 35,What happened to your right leg?,I scarred my right leg when I was 43,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Weaver
2,Katie,Farrell,-20,Female,77,0,0,2,4,31,ENFP,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Eilidh Smith,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Housewife
3,Gracie,Plunkett,-20,Female,91,0,0,3,4,28,ISFJ,How long have you been friends with Zak?,I've been friends with Zak since I was 21,Do you have any children?,I have 3 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Zak Caulfield?,No. Zak and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,Housewife
4,Kelsey,Brodie,-20,Female,71,0,0,5,4,26,ISTP,What happened to your left arm?,I scarred my left arm when I was 25,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Ashley Copland,Weaver
5,Ashley,Copland,-20,Female,83,0,0,4,4,29,ISFJ,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 4 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Kelsey Brodie?,Yes. We have 1 shared friend, Luke Brodie,Housewife
6,Matilda,Shankland,-20,Female,77,0,0,2,4,30,INTP,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Kelsey Brodie,Housewife
7,Kate,Baird,-20,Female,81,0,0,2,4,41,ISFP,How long have you been friends with Colin?,I've been friends with Colin since I was 21,Do you get along well with Alexandra?,I talked to Alexandra when I was 22 but we didn't work as friends,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 2 wonderful children!,Housewife
8,Stacy,Lang,-20,Female,84,0,0,4,4,36,ESFP,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Ava Walsh?,Yes. We have 1 shared friend, Josh Priestley,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Housewife
9,Lena,Frame,-20,Female,78,0,0,1,4,38,ISTP,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Frances Husband,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I just have the one child,Weaver
10,Lily,Bissett,-20,Female,85,0,0,5,4,33,ESTJ,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Richard Mutch?,No. Richard and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Weaver
