ID Number,Forename,Surname,Birth Year,Sex,Age,Mother ID,Father ID,No. of Kids,No. of Friends,Partner ID,MB Type,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Job,Gen
80,Greig,Stark,13,Male,87,20,49,5,4,79,ENFP,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 33,What happened to your left leg?,I burned my left leg when I was 51,What happened to your torso?,I scarred my torso when I was 74,How old was your mother when she died?,My mother was 79 when she died,Hunter,2
84,Conor,Stark,15,Male,85,20,49,1,4,100,ENFP,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right leg?,I scarred my right leg when I was 28,What happened to your left arm?,I burned my left arm when I was 69,Who was your first friend?,My first friend was Ava Ralston,What is your eldest sibling's age?,My eldest sibling is Gareth who was born in the year 10,Hunter,2
96,Luke,Baird,21,Male,79,7,41,4,4,95,INFP,What did you do when you turned 16?,I became an Hunter once I became an adult.,How old were you when you married Lorna?,I married Lorna when I was 18 and they were 19,What happened to your torso?,I burned my torso when I was 79,Do you have any children?,I have 4 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Hunter,2
99,Ruth,Mair,23,Female,77,7,41,3,4,103,INFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What is your eldest sibling's age?,My eldest sibling is Elliot who was born in the year 9,How old was your mother when she died?,My mother was 80 when she died,Do you have any children?,I have 3 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Farmer,2
100,Marie,Stark,23,Female,77,17,46,1,4,84,ENFP,What did you do when you turned 16?,I became a Weaver once I became an adult.,Do you have any shared friends with Shelley Caulfield?,No. Shelley and I don't share any friends,Who were your parents?,My mother was Ann and my father was Josh,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 3 siblings,Weaver,2
101,Alana,Caulfield,23,Female,77,20,49,5,4,104,ENFP,What did you do when you turned 16?,I became an Housewife once I became an adult.,How old was your father when he died?,My father was 84 when he died,Who was your first friend?,My first friend was Ruth Mair,What is your eldest sibling's age?,My eldest sibling is Gareth who was born in the year 10,How old was your mother when she died?,My mother was 79 when she died,Housewife,2
102,Kirstie,Harkness,23,Female,77,22,48,3,4,94,ENTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any children?,I have 3 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Sarah Mccrory?,No. Sarah and I don't share any friends,Who were your parents?,My mother was Mirren and my father was Richard,Housewife,2
104,Hunter,Caulfield,24,Male,76,15,44,5,4,101,ENFJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What is your eldest sibling's age?,My eldest sibling is Mark who was born in the year 7,How old was your mother when she died?,My mother was 72 when she died,Do you have any children?,I have 5 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Soldier,2
105,Sean,Smith,24,Male,76,16,35,5,4,108,ENTP,What happened to your right arm?,I scarred my right arm when I was 35,What happened to your left leg?,I scarred my left leg when I was 18,How old were you when you married Danielle?,I married Danielle when I was 21 and they were 18,What happened to your left arm?,I scarred my left arm when I was 22,What happened to your torso?,I scarred my torso when I was 33,Soldier,2
108,Danielle,Smith,26,Female,74,54,58,5,4,105,ESTP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your right arm?,I burned my right arm when I was 29,What happened to your right leg?,I burned my right leg when I was 45,What happened to your left leg?,I crippled my left leg when I was 57,How old was your father when he died?,My father was 58 when he died,Farmer,3
110,Sean,Walsh,27,Male,73,1,27,0,4,116,ESFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 20,How old were you when you married Zara?,I married Zara when I was 22 and they were 18,Who was your first friend?,My first friend was Logan Baird,What is your eldest sibling's age?,My eldest sibling is Cole who was born in the year 18,Hunter,2
112,Harry,Priestley,27,Male,73,17,46,4,4,118,ENFP,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your torso?,I scarred my torso when I was 18,Do you have any shared friends with Alistair Priestley?,No. Alistair and I don't share any friends,Who were your parents?,My mother was Ann and my father was Josh,How many friends do you have?,I have 4 friends,Soldier,2
113,Shannon,Caulfield,28,Female,72,3,28,5,4,119,ISFP,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any siblings?,Yes. but I only have one sibling,How old was your father when he died?,My father was 51 when he died,Who was your first friend?,My first friend was Henry Mair,What is your eldest sibling's age?,My eldest sibling is Alice who was born in the year 2,Housewife,2
114,Brian,Husband,28,Male,72,18,40,5,4,123,ESTP,What did you do when you turned 16?,I became a Soldier once I became an adult.,How old were you when you married Sandra?,I married Sandra when I was 27 and they were 18,How old was your mother when she died?,My mother was 85 when she died,Do you have any children?,I have 5 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Soldier,2
115,Casey,Stark,28,Female,72,56,57,1,4,106,ENFP,What did you do when you turned 16?,I became a Weaver once I became an adult.,Do you have any shared friends with Alistair Priestley?,No. Alistair and I don't share any friends,Who were your parents?,My mother was Freya and my father was Gerald,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,Weaver,3
117,Kaitlin,Priestley,30,Female,70,62,61,4,4,109,ESFP,What did you do when you turned 16?,I became a Weaver once I became an adult.,How old was your mother when she died?,My mother was 86 when she died,Do you have any children?,I have 4 wonderful children!,How old was your mother when she had you?,My mother was 23 years old when she had me,Do you have any shared friends with Julia Mair?,No. Julia and I don't share any friends,Weaver,3
118,Alana,Priestley,31,Female,69,67,68,4,4,112,INFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,Who were your parents?,My mother was Stacy and my father was Elliot,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 71 when he died,Farmer,3
119,Stephen,Caulfield,33,Male,67,51,63,5,4,113,ISFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,Who was your first friend?,My first friend was Alana Priestley,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Thomas who was born 19 years after me,How old was your mother when she died?,My mother was 72 when she died,Do you have any children?,I have 5 wonderful children!,Farmer,3
120,Jordan,Lang,33,Male,67,62,61,2,4,127,ESFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your left arm?,I burned my left arm when I was 24,How old was your mother when she had you?,My mother was 26 years old when she had me,Do you have any shared friends with Sean Smith?,No. Sean and I don't share any friends,Who were your parents?,My mother was Kaitlyn and my father was Joe,Farmer,3
121,Kayden,Frame,34,Male,66,78,69,3,4,135,ISTJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your right arm?,I crippled my right arm when I was 26,What happened to your left leg?,I crippled my left leg when I was 47,What happened to your right leg?,I crippled my right leg when I was 56,How many friends do you have?,I have 4 friends,Soldier,3
122,Theodore,Baird,36,Male,64,67,68,3,4,132,INTP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 71 when he died,Who was your first friend?,My first friend was Kayden Frame,What is your eldest sibling's age?,My eldest sibling is Alana who was born in the year 31,Smith,3
123,Sandra,Husband,36,Female,64,77,71,5,4,114,ENTP,What did you do when you turned 16?,I became a Weaver once I became an adult.,How old was your mother when she died?,My mother was 82 when she died,Do you have any children?,I have 5 wonderful children!,How old was your mother when she had you?,My mother was 24 years old when she had me,Do you have any shared friends with Ian Harkness?,No. Ian and I don't share any friends,Weaver,3
125,Kieran,Stark,37,Male,63,70,72,4,4,130,ESFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your torso?,I crippled my torso when I was 58,How old was your father when he died?,My father was 82 when he died,Who was your first friend?,My first friend was Maria Mcauley,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Kimberly who was born 11 years after me,Farmer,3
126,Alex,Frame,38,Male,62,54,58,4,4,131,ESTP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your right leg?,I crippled my right leg when I was 53,How old was your mother when she died?,My mother was 49 when she died,Do you have any children?,I have 4 wonderful children!,How old was your mother when she had you?,My mother was 35 years old when she had me,Farmer,3
127,Charlie,Lang,39,Female,61,62,61,2,4,120,ESFP,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any shared friends with George Mccrory?,No. George and I don't share any friends,Who were your parents?,My mother was Kaitlyn and my father was Joe,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,Housewife,3
128,George,Mccrory,39,Male,61,74,81,1,4,148,ESTJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,How old was your father when he died?,My father was 79 when he died,Who was your first friend?,My first friend was Charlie Lang,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Lucas who was born 7 years after me,How old was your mother when she died?,My mother was 76 when she died,Soldier,3
129,Caitlyn,Harkness,39,Female,61,79,80,2,4,145,ENFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,Do you have any children?,I have 2 wonderful children!,How old was your mother when she had you?,My mother was 26 years old when she had me,Do you have any shared friends with Rhys Stark?,No. Rhys and I don't share any friends,Who were your parents?,My mother was Laila and my father was Greig,Weaver,3
131,Stacy,Frame,40,Female,60,62,61,4,4,126,ESFP,What did you do when you turned 16?,I became a Weaver once I became an adult.,How old was your father when he died?,My father was 73 when he died,Who was your first friend?,My first friend was Logan Baird,What is your eldest sibling's age?,My eldest sibling is Kaitlin who was born in the year 30,How old was your mother when she died?,My mother was 86 when she died,Weaver,3
132,Zoe,Baird,40,Female,60,88,82,3,4,122,ENTP,What did you do when you turned 16?,I became an Housewife once I became an adult.,What happened to your left arm?,I scarred my left arm when I was 29,Do you have any children?,I have 3 wonderful children!,How old was your mother when she had you?,My mother was 24 years old when she had me,Do you have any shared friends with Zara Walsh?,No. Zara and I don't share any friends,Housewife,3
133,Nicola,Mair,40,Female,60,95,96,2,4,139,INFP,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your torso?,I scarred my torso when I was 35,What happened to your right leg?,I scarred my right leg when I was 48,Who were your parents?,My mother was Lorna and my father was Luke,How many friends do you have?,I have 4 friends,Weaver,3
135,Esme,Frame,41,Female,59,93,97,3,4,121,ISTP,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 18,What happened to your right arm?,I crippled my right arm when I was 19,What happened to your right leg?,I crippled my right leg when I was 48,How old was your mother when she died?,My mother was 77 when she died,Weaver,3
136,Penelope,Baird,41,Female,59,95,96,0,4,Single,INFP,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any children?,I don't have any children,How old was your mother when she had you?,My mother was 21 years old when she had me,Do you have any shared friends with Nicola Mair?,No. Nicola and I don't share any friends,Who were your parents?,My mother was Lorna and my father was Luke,Housewife,3
137,Courtney,Priestley,42,Female,58,56,57,3,4,141,ENFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 90 when he died,Who was your first friend?,My first friend was Shannon Caulfield,Farmer,3
