ID Number,Forename,Surname,Birth Year,Sex,Age,Mother ID,Father ID,No. of Kids,No. of Friends,Partner ID,MB Type,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Job,Gen
97,Henry,Lang,16,Male,84,5,36,2,4,106,ESFJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your left arm?,I lost my left arm when I was 25,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Craig Mair?,No. Craig and I don't share any friends,Who were your parents?,My mother was Ashley and my father was Marc,Smith,2
99,Charlene,Farrell,16,Female,84,22,51,1,4,96,ESTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,What happened to your right leg?,I scarred my right leg when I was 79,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Elsie who was born 13 years after me,How old was your mother when she died?,My mother was 70 when she died,Do you have any children?,I just have the one child,Housewife,2
100,Robbie,Lang,17,Male,83,5,36,4,4,119,ESFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right leg?,I burned my right leg when I was 26,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Courtney Hampson?,No. Courtney and I don't share any friends,Who were your parents?,My mother was Ashley and my father was Marc,Hunter,2
102,Wayne,Fay,18,Male,82,24,54,1,4,101,ISFP,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your left leg?,I burned my left leg when I was 17,How old were you when you married Skye?,I married Skye when I was 18 and they were 18,What happened to your right leg?,I scarred my right leg when I was 22,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Kevin who was born 6 years after me,Soldier,2
104,Shaun,Hampson,19,Male,81,15,53,1,4,87,INFJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,How old were you when you married Courtney?,I married Courtney when I was 18 and they were 26,What happened to your left leg?,I burned my left leg when I was 65,Who were your parents?,My mother was Shelley and my father was Wesley,How many friends do you have?,I have 4 friends,Smith,2
108,Catriona,Mair,21,Female,79,4,38,3,4,109,ESTP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your right arm?,I crippled my right arm when I was 61,Who was your first friend?,My first friend was Mason Baird,What is your eldest sibling's age?,My eldest sibling is Michael who was born in the year 7,How old was your mother when she died?,My mother was 86 when she died,Farmer,2
109,Carson,Mair,21,Male,79,19,45,3,4,108,ISTP,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your right leg?,I burned my right leg when I was 47,Do you have any children?,I have 3 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Aria Lang?,No. Aria and I don't share any friends,Soldier,2
112,Hugh,Harkness,23,Male,77,2,34,2,4,98,ENFP,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 41,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Deborah Dalgleish?,No. Deborah and I don't share any friends,Who were your parents?,My mother was Katie and my father was Grayson,Soldier,2
113,Alastair,Lang,23,Male,77,5,36,0,4,Single,ISFJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your right leg?,I burned my right leg when I was 19,What happened to your left arm?,I crippled my left arm when I was 29,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 3 siblings,Smith,2
114,Liam,Smith,23,Male,77,6,35,2,4,111,INTP,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your left arm?,I crippled my left arm when I was 27,What happened to your right arm?,I scarred my right arm when I was 33,What happened to your left leg?,I burned my left leg when I was 46,How old was your father when he died?,My father was 77 when he died,Soldier,2
