ID Number,Forename,Surname,Birth Year,Sex,Age,Mother ID,Father ID,No. of Kids,No. of Friends,Partner ID,MB Type,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Job
0,Fimbultyr,Allfather,-99,Male,99,Eternal,Eternal,0,0,Single,ESTJ,What have the Gods ever done for us?,Created the universe in a time before memory,,,,,,,,,Dead
1,Ava,Lang,-20,Female,73,0,0,2,4,36,ESFJ,How long have you been friends with Catherine?,I've been friends with Catherine since I was 22,What happened to your torso?,I scarred my torso when I was 42,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Weaver
2,Katie,Smith,-20,Female,83,0,0,2,4,35,ENFP,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Lee Harkness,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 2 wonderful children!,Housewife
3,Gracie,Thomas,-20,Female,90,0,0,4,4,39,ISFJ,Do you get along well with Matilda?,I talked to Matilda when I was 22 but we didn't work as friends,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Linsey Garner?,No. Linsey and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Housewife
4,Kelsey,Frame,-20,Female,75,0,0,2,4,38,ISTP,What happened to your right leg?,I scarred my right leg when I was 21,What happened to your right arm?,I burned my right arm when I was 35,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Alfie Mcrae,Weaver
5,Ashley,Ralston,-20,Female,80,0,0,4,4,43,ISFJ,Do you get along well with Stewart?,I talked to Stewart when I was 24 but we didn't work as friends,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 4 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Housewife
6,Matilda,Baird,-20,Female,71,0,0,4,4,41,INTP,Do you get along well with Lee?,I talked to Lee when I was 21 but we didn't work as friends,Do you have any shared friends with William Frame?,Yes. We have 1 shared friend, Richard Mutch,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Housewife
7,Kate,Mcauley,-20,Female,81,0,0,3,4,42,ISFP,How long have you been friends with Colin?,I've been friends with Colin since I was 22,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Colin Ingram,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Housewife
8,Stacy,Husband,-20,Female,85,0,0,3,4,40,ESFP,What happened to your torso?,I scarred my torso when I was 54,Do you have any children?,I have 3 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Marc Lang?,No. Marc and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,Housewife
9,Lena,Mair,-20,Female,78,0,0,2,4,45,ISTP,What happened to your right leg?,I crippled my right leg when I was 52,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Paul Ralston,Weaver
10,Lily,Mccrory,-20,Female,83,0,0,2,4,37,ESTJ,What happened to your left leg?,I scarred my left leg when I was 68,What happened to your left leg?,I burned my left leg when I was 73,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 2 wonderful children!,Weaver
11,Lynne,Caulfield,-20,Female,76,0,0,3,4,44,ENTJ,How long have you been friends with Wayne?,I've been friends with Wayne since I was 21,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Wayne Stanners?,No. Wayne and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Weaver
12,Pamela,Priestley,-20,Female,85,0,0,4,4,46,ENFJ,How long have you been friends with Taylor?,I've been friends with Taylor since I was 21,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Taylor Stark,Do you have any injuries to your head?,I've never had any serious injuries to my head,Weaver
13,Catherine,Ingram,-20,Female,83,0,0,1,4,50,ESFJ,What happened to your right leg?,I scarred my right leg when I was 23,What happened to your right arm?,I scarred my right arm when I was 61,What happened to your torso?,I scarred my torso when I was 70,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I just have the one child,Weaver
14,Shannon,Dalgleish,-20,Female,77,0,0,2,4,47,INTJ,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Pamela Priestley?,No. Pamela and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Weaver
15,Shelley,Hampson,-20,Female,71,0,0,4,4,53,INFJ,Do you get along well with Frances?,I talked to Frances when I was 21 but we didn't work as friends,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Lee Harkness,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Weaver
16,Eilidh,Mutch,-20,Female,78,0,0,0,4,48,ENTP,How long have you been friends with Shay?,I've been friends with Shay since I was 21,Do you have any children?,I don't have any children,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Shay Holt?,No. Shay and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,Housewife
17,Ann,Stark,-20,Female,91,0,0,2,4,49,ENFP,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Harrison Dalgleish,Do you have any injuries to your head?,I've never had any serious injuries to my head,Housewife
18,Frances,Holt,-20,Female,81,0,0,0,4,52,ENTP,What happened to your left leg?,I scarred my left leg when I was 51,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I don't have any children,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Stephen Smith?,No. Stephen and I don't share any friends,Housewife
19,Audrey,Fay,-20,Female,99,0,0,4,4,54,ISTJ,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Jill Grierson,Housewife
20,Clare,Niven,-20,Female,81,0,0,4,4,60,ENFP,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 4 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with William Frame?,No. William and I don't share any friends,Housewife
21,Ava,Morris,-20,Female,84,0,0,4,4,55,INFP,Do you get along well with Richard?,I talked to Richard when I was 21 but we didn't work as friends,How long have you been friends with Stacy?,I've been friends with Stacy since I was 23,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Housewife
22,Mirren,Hair,-20,Female,85,0,0,3,4,51,ESTJ,How long have you been friends with Frances?,I've been friends with Frances since I was 22,What happened to your right leg?,I crippled my right leg when I was 35,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Richard Mutch,Do you have any injuries to your head?,I've never had any serious injuries to my head,Weaver
23,Alexandra,Little,-20,Female,73,0,0,2,4,58,ENTP,How long have you been friends with Clare?,I've been friends with Clare since I was 22,How long have you been friends with Charles?,I've been friends with Charles since I was 24,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 2 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Weaver
24,Hayley,Mclaren,-20,Female,83,0,0,4,4,57,ISFP,Do you have any shared friends with Ava Lang?,No. Ava and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Housewife
25,Wendy,Mcrae,-20,Female,84,0,0,2,4,56,ISTJ,What happened to your right arm?,I crippled my right arm when I was 49,Who was your first friend?,My first friend was Hayley Mclaren,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 2 wonderful children!,Weaver
26,Cora,Bingham,-20,Female,90,0,0,5,4,59,ISTP,What happened to your left leg?,I burned my left leg when I was 54,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Audrey Fay?,No. Audrey and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Weaver
27,Carla,Duncanson,-20,Female,77,0,0,3,4,62,ESTJ,How long have you been friends with Stacy?,I've been friends with Stacy since I was 23,What happened to your right arm?,I scarred my right arm when I was 37,What happened to your left leg?,I scarred my left leg when I was 71,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Housewife
28,Ivy,Cassidy,-20,Female,86,0,0,4,4,61,ISFP,Do you get along well with Stewart?,I talked to Stewart when I was 21 but we didn't work as friends,How long have you been friends with Henry?,I've been friends with Henry since I was 22,Who was your first friend?,My first friend was Catherine Ingram,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Housewife
29,Linsey,Garner,-20,Female,79,0,0,1,4,68,ISFJ,Do you have any children?,I just have the one child,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Gracie Thomas?,No. Gracie and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Housewife
30,Charlotte,Bates,-20,Female,84,0,0,2,4,64,INTJ,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Zak Caulfield,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Housewife
31,Victoria,Stanners,-20,Female,73,0,0,4,4,69,ENFJ,Do you have any children?,I have 4 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Pamela Priestley?,Yes. We have 1 shared friend, Taylor Stark,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Housewife
32,Jill,Grierson,-20,Female,75,0,0,2,4,65,INFJ,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Audrey Fay,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Housewife
33,Matilda,Bissett,-20,Female,78,0,0,0,4,Single,ESTJ,How long have you been friends with Eilidh?,I've been friends with Eilidh since I was 21,What happened to your torso?,I crippled my torso when I was 60,Do you have any children?,I don't have any children,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Eilidh Mutch?,No. Eilidh and I don't share any friends,Weaver
34,Lee,Harkness,-20,Female,95,0,0,0,4,Single,ENFJ,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Katie Smith,Weaver
35,Stephen,Smith,-20,Male,86,0,0,2,4,2,ENTP,How long have you been friends with Lynne?,I've been friends with Lynne since I was 22,What happened to your right leg?,I scarred my right leg when I was 30,What happened to your left arm?,I crippled my left arm when I was 63,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Soldier
