ID Number,Forename,Surname,Birth Year,Sex,Age,Mother ID,Father ID,No. of Kids,No. of Friends,Partner ID,MB Type,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Job,Gen
99,Kai,Baird,10,Male,90,2,41,3,4,96,INFP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your torso?,I burned my torso when I was 36,What happened to your left leg?,I burned my left leg when I was 48,How old was your father when he died?,My father was 86 when he died,Who was your first friend?,My first friend was Colin Ingram,Smith,2
112,Helen,Dalgleish,13,Female,87,14,47,3,4,106,INFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Who were your parents?,My mother was Shannon and my father was Harrison,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 2 siblings,How old was your father when he died?,My father was 71 when he died,Housewife,2
114,Kai,Stanners,15,Male,85,31,69,4,4,147,ENFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your right leg?,I crippled my right leg when I was 55,How old was your mother when she died?,My mother was 80 when she died,Do you have any children?,I have 4 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Farmer,2
116,Norman,Hampson,16,Male,84,11,53,4,4,138,ENTJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 39,What happened to your torso?,I crippled my torso when I was 77,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 81 when he died,Smith,2
117,Eilidh,Evans,16,Female,84,12,46,4,4,101,ENFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,Who was your first friend?,My first friend was Sonny Gault,What is your eldest sibling's age?,My eldest sibling is Linda who was born in the year 3,How old was your mother when she died?,My mother was 90 when she died,Do you have any children?,I have 4 wonderful children!,Weaver,2
119,Julia,Stark,17,Female,83,20,61,3,4,144,INFP,What did you do when you turned 16?,I became a Weaver once I became an adult.,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 76 when he died,Who was your first friend?,My first friend was Lena Holt,Weaver,2
122,Jordan,Bingham,17,Male,83,26,59,2,4,118,INTP,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right leg?,I scarred my right leg when I was 68,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Harry Mcghie?,No. Harry and I don't share any friends,Who were your parents?,My mother was Cora and my father was Ruairidh,Hunter,2
123,Summer,Evans,17,Female,83,27,62,2,4,124,ESTJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your left leg?,I crippled my left leg when I was 78,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 78 when he died,Weaver,2
128,Alyssa,Ritchie,19,Female,81,24,63,5,4,139,ISFP,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your left leg?,I burned my left leg when I was 49,How old was your mother when she died?,My mother was 76 when she died,Do you have any children?,I have 5 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Weaver,2
137,Justin,Grierson,21,Male,79,30,65,0,4,Single,INTJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,Do you have any shared friends with Casey Hair?,No. Casey and I don't share any friends,Who were your parents?,My mother was Charlotte and my father was Charles,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 3 siblings,Soldier,2
142,Christina,Dalgleish,22,Female,78,30,65,0,4,134,INTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,What is your eldest sibling's age?,My eldest sibling is Vicky who was born in the year 20,How old was your mother when she died?,My mother was 80 when she died,Do you have any children?,I don't have any children,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Housewife,2
143,Elijah,Thomas,23,Male,77,3,39,0,4,Single,ISFJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your left arm?,I scarred my left arm when I was 24,What happened to your torso?,I scarred my torso when I was 29,What happened to your torso?,I burned my torso when I was 38,Do you have any shared friends with Wesley Hampson?,No. Wesley and I don't share any friends,Soldier,2
145,Sean,Mclaren,23,Male,77,21,57,2,4,140,ISFP,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your right arm?,I crippled my right arm when I was 60,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 53 when he died,Who was your first friend?,My first friend was Michael Mcrae,Soldier,2
146,Mitchell,Bates,23,Male,77,25,64,0,4,Single,INTJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your left leg?,I crippled my left leg when I was 55,What is your eldest sibling's age?,My eldest sibling is Josh who was born in the year 9,How old was your mother when she died?,My mother was 80 when she died,Do you have any children?,I don't have any children,Smith,2
147,Pamela,Stanners,23,Female,77,78,82,4,4,114,ENFP,What did you do when you turned 16?,I became an Housewife once I became an adult.,How old was your mother when she had you?,My mother was 21 years old when she had me,Do you have any shared friends with Jordan Bingham?,No. Jordan and I don't share any friends,Who were your parents?,My mother was Lyndsay and my father was Hunter,How many friends do you have?,I have 4 friends,Housewife,3
148,Harrison,Baird,24,Male,76,2,41,0,4,Single,INFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,Do you have any siblings?,Yes. I actually have 2 siblings,How old was your father when he died?,My father was 86 when he died,Who was your first friend?,My first friend was Kai Stanners,What is your eldest sibling's age?,My eldest sibling is Mandy who was born in the year 8,Farmer,2
149,Hannah,Grierson,24,Female,76,6,42,2,4,151,INTP,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your torso?,I scarred my torso when I was 16,What happened to your right leg?,I crippled my right leg when I was 76,How old was your mother when she died?,My mother was 78 when she died,Do you have any children?,I have 2 wonderful children!,Weaver,2
150,Francis,Fay,24,Male,76,15,54,0,4,Single,ISFJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your left leg?,I burned my left leg when I was 48,What happened to your right arm?,I lost my right arm when I was 61,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Vicky Little?,No. Vicky and I don't share any friends,Soldier,2
154,Derek,Husband,25,Male,75,8,40,4,4,161,ESFP,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 28,What happened to your torso?,I burned my torso when I was 43,Who were your parents?,My mother was Stacy and my father was Cody,How many friends do you have?,I have 4 friends,Hunter,2
156,Barrie,Fay,26,Male,74,15,54,0,4,Single,INFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,Who was your first friend?,My first friend was Dominic Grierson,What is your eldest sibling's age?,My eldest sibling is Francis who was born in the year 24,How old was your mother when she died?,My mother was 84 when she died,Do you have any children?,I don't have any children,Hunter,2
157,Gordon,Morris,26,Male,74,18,55,4,4,176,INTP,What did you do when you turned 16?,I became an Hunter once I became an adult.,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Josh Bates?,No. Josh and I don't share any friends,Who were your parents?,My mother was Frances and my father was Zak,How many friends do you have?,I have 4 friends,Hunter,2
158,Paula,Bates,27,Female,73,7,45,4,4,155,ISTP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your right leg?,I burned my right leg when I was 42,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 74 when he died,Who was your first friend?,My first friend was Justin Grierson,Farmer,2
160,Charlie,Mutch,27,Male,73,10,48,5,4,172,ENTJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your left arm?,I scarred my left arm when I was 20,Do you have any shared friends with Jordan Bingham?,No. Jordan and I don't share any friends,Who were your parents?,My mother was Lily and my father was Richard,How many friends do you have?,I have 4 friends,Soldier,2
161,Tracy,Husband,27,Female,73,13,50,4,4,154,ESFP,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any siblings?,Yes. I actually have 2 siblings,How old was your father when he died?,My father was 83 when he died,Who was your first friend?,My first friend was Julia Stark,What is your eldest sibling's age?,My eldest sibling is Evie who was born in the year 6,Housewife,2
162,Piper,Duncanson,27,Female,73,88,83,1,4,131,ISTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,How old was your mother when she died?,My mother was 54 when she died,Do you have any children?,I just have the one child,How old was your mother when she had you?,My mother was 22 years old when she had me,Do you have any shared friends with Russell Dalgleish?,No. Russell and I don't share any friends,Housewife,3
163,Logan,Niven,28,Male,72,17,60,0,4,Single,ENTP,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your torso?,I scarred my torso when I was 32,What happened to your left arm?,I scarred my left arm when I was 46,Who were your parents?,My mother was Ann and my father was Samuel,How many friends do you have?,I have 4 friends,Hunter,2
164,Fiona,Mair,28,Female,72,80,84,3,4,167,ESFP,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 79 when he died,Who was your first friend?,My first friend was Tracy Husband,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Greg who was born 17 years after me,Housewife,3
168,Finn,Ingram,30,Male,70,13,50,0,4,Single,ESFJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your torso?,I burned my torso when I was 33,What is your eldest sibling's age?,My eldest sibling is Evie who was born in the year 6,How old was your mother when she died?,My mother was 81 when she died,Do you have any children?,I don't have any children,Soldier,2
172,Katrina,Mutch,30,Female,70,95,89,5,4,160,ESTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 22,How old was your mother when she had you?,My mother was 23 years old when she had me,Do you have any shared friends with Marcus Morris?,No. Marcus and I don't share any friends,Who were your parents?,My mother was Nova and my father was Richard,Housewife,3
173,Muhammad,Hampson,31,Male,69,76,77,2,4,186,ENFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. but I only have one sibling,How old was your father when he died?,My father was 90 when he died,Who was your first friend?,My first friend was Kevin Hampson,Hunter,3
